Reference,Year,Category,Main Contribution,AETHEL Enhancement / Gap Filled,Manuscript Section
Hussain et al. (2016),2016,Background Reviews,Quantifies the risk of bias and power loss caused by missing data in clinical trials.,"AETHEL addresses this risk by simulating missing data in its robustness sweeps, mapping failure thresholds under clinical data corruption.",Introduction / Discussion
Boehmer et al. (2016),2016,Background Reviews,Evidence supporting minimally disruptive medicine to reduce patient treatment burden.,"AETHEL supports this philosophy by validating clinical decision utility, preventing unnecessary treatment harms and patient burden.",Introduction / Discussion
Davenport et al. (2019),2019,Background Reviews,A broad survey of AI technologies and their implementation in healthcare.,AETHEL addresses the deployment challenges identified by Davenport by providing a robust validation framework.,Introduction
Zadrozny et al. (2001),2001,Calibration,Popularized isotonic regression and Platt scaling for non-neural network classifiers.,AETHEL directly implements Zadrozny's calibration methods (Platt scaling and Isotonic regression) in its calibration module.,Methods / Results
Niculescu-Mizil et al. (2005),2005,Calibration,Discovered the characteristic calibration distortions of ensemble and margin classifiers.,"AETHEL builds on these findings, applying Platt scaling to XGBoost models under transfer shift to correct margin distortions.",Methods / Results
Sr. et al. (2008),2008,Clinical Risk Prediction,The widely used Framingham general CVD risk prediction algorithm.,AETHEL utilizes the Framingham cohort dataset as an external target validation cohort to test models trained on synthetic or demographic sources.,Introduction / Methods / Results
Jr. et al. (2014),2014,Clinical Risk Prediction,PCE equations for ASCVD risk estimation in primary prevention.,"AETHEL benchmarks its machine learning models against the PCE variables and uses the standard treatment decision thresholds (e.g., 7.5% and 20%) in its DCA audits.",Introduction / Discussion
Hippisley-Cox et al. (2017),2017,Clinical Risk Prediction,QRISK3 risk prediction algorithm incorporating clinical comorbidities.,"AETHEL's multi-cohort registry implements feature harmonization similar to QRISK3 variables (e.g., incorporating renal and metabolic markers).",Introduction / Discussion
Mesinovic et al. (2023),2023,Clinical Risk Prediction,Comprehensive mapping of XAI methods to clinical risk prediction paradigms.,"AETHEL directly implements the recommendation of this survey by creating quantitative metrics (FAS, TkO) to validate explanation stability.",Introduction / Methods / Discussion
Martino et al. (2023),2023,Clinical Risk Prediction,ML pipeline for malnutrition prediction with post-hoc explainability.,AETHEL expands on this approach by analyzing explainability drift (FAS) specifically during demographic transfer.,Methods / Discussion
Pedro A. Moreno-Sánchez (2023),2023,Clinical Risk Prediction,SHAP-based feature selection method for heart failure risk prediction.,AETHEL extends this by showing that post-hoc calibration does not degrade discrimination but improves calibration reliability under shift.,Results / Discussion
Luo et al. (2023),2023,Clinical Risk Prediction,LLM-integrated clinical explanation reports for tree-based risk predictors.,"AETHEL focuses on rigorous quantitative auditing (FAS, ECE, DCA) rather than qualitative LLM texts to guarantee clinical safety.",Introduction / Discussion
Susnjak et al. (2023),2023,Clinical Risk Prediction,Explainable survival modeling framework for elderly cohorts.,AETHEL incorporates robust noise sweeps to address the lack of safety boundaries in frameworks like Susnjak's.,Methods / Discussion
Ghasemi et al. (2024),2024,Clinical Risk Prediction,A comprehensive taxonomy and gap analysis of XAI in oncology.,AETHEL directly solves the key gap identified by Ghasemi et al. by introducing the Feature Agreement Score (FAS) to measure explanation consistency.,Introduction / Discussion
Imran et al. (2025),2025,Clinical Risk Prediction,Cardiovascular risk prediction pipeline with local and global SHAP explanations.,"AETHEL acts as a direct critique of this paper, demonstrating that high validation AUC does not guarantee safety under external transportability shift.",Introduction / Discussion
Calster et al. (2024),2024,Decision Curve Analysis,"A unified guideline for validating predictive AI, prioritizing decision-analytical measures over ROC-AUC.",AETHEL implements STRATOS recommendations by prioritizing DCA Net Benefit and translating it into consequence waffle charts.,Methods / Results / Discussion
Ribeiro et al. (2016),2016,Explainable AI,"The LIME explainability algorithm, popularizing local model-agnostic explanations.",AETHEL compares LIME and SHAP attributions under demographic shift to show that LIME is less stable than SHAP.,Methods / Discussion
Doshi-Velez et al. (2017),2017,Explainable AI,A structured taxonomy to make the science of interpretability rigorous.,"AETHEL operates in the functionally-grounded tier, using FAS and TkO as proxies for clinical explanation stability.",Methods / Discussion
Lundberg et al. (2017),2017,Explainable AI,Formulation of SHAP and Tree SHAP for tree ensembles.,AETHEL implements SHAP as its core attribution method and audits SHAP rank stability using FAS.,Methods / Results
Adadi et al. (2018),2018,Explainable AI,The four motivations of XAI and a survey of early post-hoc methods.,AETHEL addresses the 'explain to control' and 'explain to improve' motivations by implementing attribution auditing under domain shift.,Introduction / Discussion
Arrieta et al. (2020),2020,Explainable AI,Unified XAI definitions and a roadmap for responsible AI deployment.,AETHEL uses this taxonomy to classify post-hoc explanation techniques applied to ensemble classifiers.,Methods / Discussion
Wysocki et al. (2023),2023,Explainable AI,An empirical audit of XAI's impact on automation bias in clinical decision support.,"AETHEL provides the Feature Agreement Score (FAS) to mathematically flag explanation instability, mitigating automation bias.",Introduction / Discussion
Brankovic et al. (2023),2023,Explainable AI,Benchmarking XAI methods on clinical datasets to demonstrate inconsistency.,AETHEL directly adopts the Jaccard Top-k overlap (TkO) metric to quantify and audit these exact XAI inconsistencies.,Methods / Results / Discussion
Dragutin Petkovic (2023),2023,Explainable AI,Framing accuracy and explainability as complementary pillars of trustworthy AI.,AETHEL proves this thesis empirically by demonstrating that post-hoc calibration preserves model discrimination (AUC) while recovering calibration and tracking FAS.,Introduction / Discussion
IEEE PRISMA survey authors (2023),2023,Explainable AI,"Structured mapping of healthcare XAI trends, limitations, and future directions.","AETHEL implements several post-hoc XAI approaches evaluated in this review, proving their real-world clinical utility.",Introduction / Discussion
Royston et al. (2013),2013,External Validation,Methodology for validating Cox model calibration in independent datasets.,AETHEL implements Harrell's C-index from scratch to evaluate survival baseline models on external target cohorts.,Methods / Discussion
Collins et al. (2016),2016,External Validation,Empirical rules of thumb (minimum 100 events) for external validation study sizes.,AETHEL verifies that its external target cohorts (Framingham/NHANES) contain enough event counts (events > 200) to meet these validation requirements.,Methods / Limitations
Riley et al. (2021),2021,External Validation,"Closed-form formulas for validation sample sizes, replacing empirical rules of thumb.",AETHEL uses these formulas to audit and report target sample size adequacy in its reports.,Methods / Results
Suresh et al. (2021),2021,Fairness & Equity,Taxonomy of seven potential sources of downstream harm in the ML lifecycle.,AETHEL automates the evaluation of Suresh's 'evaluation and deployment harms' by stress-testing models on target cohorts.,Introduction / Discussion
Grote et al. (2022),2022,Fairness & Equity,A collaborative human-AI framework for mitigating healthcare disparities.,"AETHEL implements fairness audits across demographic subgroups (age, gender) to verify equity as advocated by Grote & Berens.",Introduction / Discussion
Schisterman et al. (2007),2007,Foundational Methods,A mathematical formulation for Youden Index thresholds in zero-inflated biomarker data.,AETHEL integrates Youden Index calculation in its evaluator module to compute optimal decision thresholds for skewed baseline clinical markers.,Methods / Results
Efthimiou et al. (2023),2023,Foundational Methods,A practical step-by-step consensus-based roadmap for clinical predictive modeling.,"AETHEL implements this guide's recommendation for systematic development and external validation, extending it with automated ECE/DCA audits.",Methods / Discussion
Collins et al. (2024),2024,Foundational Methods,Standardizes terminology and validation protocols for clinical risk models.,"AETHEL executes the external validation and transportability audits advocated by Collins et al., assessing ECE and FAS drops under transfer shift.",Introduction / Methods
Collins et al. (2015),2015,Reporting Guidelines,"The TRIPOD checklist, the gold standard for clinical prediction model reporting.",AETHEL complies with TRIPOD guidelines and extends them to support machine learning and explainability.,Methods / Discussion
Sterne et al. (2019),2019,Reporting Guidelines,The RoB 2 risk of bias tool for clinical trials.,AETHEL translates these manual clinical bias audits into automated quantitative audits for predictive ML models.,Methods / Discussion
Collins et al. (2021),2021,Reporting Guidelines,Roadmap for establishing standard reporting and bias assessment guidelines for clinical AI.,"AETHEL ensures compliance with these guidelines, using nested cross-validation and documenting hyperparameter choices.",Methods / Discussion
DECIDE-AI Collaborators (2022),2022,Reporting Guidelines,The DECIDE-AI reporting statement for clinical decision support systems.,AETHEL provides the technical evidence required to satisfy DECIDE-AI reporting requirements (usability and calibration).,Methods / Discussion
Collins et al. (2024),2024,Reporting Guidelines,The TRIPOD+AI reporting checklist for clinical machine learning models.,"AETHEL serves as an automated compliance tool, generating the technical verification data needed for TRIPOD+AI reporting.",Methods / Discussion / Limitations
David R. Cox (1972),1972,Survival Analysis,The foundational Cox Proportional Hazards model.,AETHEL implements the Cox PH model as the primary baseline clinical model to compare against machine learning models (XGBoost/RF).,Methods / Results
Ishwaran et al. (2008),2008,Survival Analysis,Extension of Random Forests to right-censored time-to-event outcomes.,AETHEL includes RSF as a benchmark model in its survival registry and training pipeline.,Methods / Results
Ter-Minassian et al. (2024),2024,Survival Analysis,Formulates median-SHAP for explainable survival analysis under right-censoring.,AETHEL uses survival-censoring evaluations and builds consensus metrics (FAS) comparing survival SHAP to standard attributions.,Methods / Discussion
Lekadir et al. (2022),2022,Trustworthy AI,The FUTURE-AI guidelines for trustworthy medical AI.,"AETHEL implements and automates the FUTURE-AI pillars, providing quantitative metrics for Fairness, Robustness, and Explainability.",Introduction / Methods / Discussion
Ning et al. (2024),2024,Trustworthy AI,Guidelines for auditing fairness and transportability in clinical predictive modeling.,AETHEL represents the software platform implementing this validation roadmap.,Introduction / Discussion
